year,month,date,incoming,awarded,count_series,bid_to_cover,incoming_perserie,kuasi_changes,bfcius_index,move_index,usyoy_inflation_survey,idyoy_inflation_survey,bbbcorpspread,emusdindex,finstressidx
2020,11,2020-11-01,150.9541,49.433845,14,3.053658885,10.78243571,36.45823,0.347904762,45.16368421,1.1,1.54,1.529047619,124.3825778,-0.1164
2020,12,2020-12-01,84.3088,23.724645,7,3.553638,12.04411429,49.74572,0.582956522,45.88681818,1.3,1.61,1.354210526,122.3746105,-0.44655
2021,1,2021-01-01,168.9645,81,14,2.085981481,12.06889286,-40.91081595,0.623285714,45.53842105,1.5,1.66,1.2695,122.0099056,-0.46316
2021,2,2021-02-01,144.64,65,14,2.225230769,10.33142857,7.65611871,0.7594,54.37842105,1.7,1.4,1.217368421,122.8205611,-0.6962
2021,3,2021-03-01,170.5599,74.7739,21,2.28100848,8.1219,-13.03417025,0.762695652,66.48695652,2.5,1.46,1.238181818,124.4298909,-0.6138
2021,4,2021-04-01,104.8002,58.05,14,1.805343669,7.485728571,70.21985209,1.118636364,61.35363636,3.6,1.53,1.170952381,123.330381,-0.8736
2021,5,2021-05-01,78.1632,32.55,7,2.401327189,11.16617143,37.66504945,1.091952381,55.8945,4.7,1.64,1.144117647,122.3823688,-0.879625
2021,6,2021-06-01,148.4099,64,14,2.318904688,10.60070714,47.62847803,1.302181818,54.49409091,4.9,1.53,1.098095238,122.3223952,-0.91585
2021,7,2021-07-01,178.9531,68,14,2.631663235,12.78236429,20.37769726,1.222909091,61.90571429,5.3,1.52,1.111428571,123.3416,-0.8298
2021,8,2021-08-01,300.9624,85,21,3.540734118,14.33154286,22.26000672,1.1865,61.46636364,5.3,1.6,1.151,123.70428,-0.806275
2021,9,2021-09-01,139.4946,33,14,4.227109091,9.9639,24.52460606,1.126045455,56.64380952,5.3,1.67,1.112272727,123.454181,-0.7168
2021,10,2021-10-01,119.6829,16,14,7.48018125,8.548778571,43.26597728,1.166,65.3475,5.9,1.68,1.106,124.3992158,-0.7882
2021,11,2021-11-01,,,,,,43.9335469,1.039227273,77.575,6.8,1.7,1.148636364,124.871765,-0.7057
2021,12,2021-12-01,,,,,,109.2105269,0.792956522,78.49681818,7,1.8,1.234090909,125.2922286,-0.6096
2022,1,2022-01-01,162.422,50,14,3.24844,11.60157143,-62.72736317,0.795809524,80.7435,7.2,2.14,1.228095238,124.329675,-0.586375
2022,2,2022-02-01,148.8428,48,14,3.100891667,10.63162857,-4.66799,0.36025,91.72052632,7.9,2.18,1.402777778,124.0212294,-0.42185
2022,3,2022-03-01,156.2862,56.25,21,2.778421333,7.4422,2.4143,-0.391434783,111.8652174,8.4,2.47,1.691363636,124.9217909,-0.197475
2022,4,2022-04-01,48.7426,19.5077,7,2.498633873,6.963228571,85.95009,-0.141904762,123.266,8.1,3.31,1.54,124.5054474,-0.502075
2022,5,2022-05-01,61.3812,29.985,14,2.047063532,4.384371429,-34.33565,-0.7925,116.4128571,8.3,3.6,1.810666667,126.8585429,0.31425
2022,6,2022-06-01,78.6061,35.875,14,2.191110801,5.614721429,-30.19512,-0.686772727,123.0161905,8.7,4.15,1.82952381,127.10256,-0.193625
2022,7,2022-07-01,55.4348,25.67,14,2.159516946,3.959628571,14.97245,-0.685428571,133.825,8.7,4.81,1.978571429,129.59939,-0.00096
2022,8,2022-08-01,156.3173,59.71,21,2.617941718,7.443680952,-0.57926,-0.247347826,122.7847826,8.1,4.99,1.82,128.9300182,-0.497875
2022,9,2022-09-01,75.73,29.745,14,2.545974113,5.409285714,9.6164,-0.592090909,134.0428571,8.1,6.04,1.885,131.5422857,-0.25728
2022,10,2022-10-01,32.0919,20.374285,15,1.575117851,2.13946,-7.78421,-1.048047619,150.7985,7.9,6.04,2.045714286,133.57732,-0.1538
2022,11,2022-11-01,53.3077,25.2,15,2.115384921,3.553846667,87.03647,-0.607818182,130.385,7.3,5.52,1.864090909,131.81537,-0.36755
2022,12,2022-12-01,27.6647,15.5,7,1.784819355,3.9521,73.26039,-0.3505,122.6128571,6.5,5.36,1.723809524,129.6767667,0.01756
2023,1,2023-01-01,154.4446,65.2,22,2.368782209,7.020209091,-59.4872078,0.107272727,113.7025,6.2,5.38,1.6325,126.6764421,-0.328675
2023,2,2023-02-01,101.9573,40,14,2.5489325,7.282664286,23.0180545,0.34865,109.9189474,6,5.43,1.5505,126.8776789,-0.544
